cuda,,x86
0.002825,,0.005197
0.002781,,0.0052
0.002668,,0.005186
0.002624,,0.005217
0.002692,,0.005186
0.00264,,0.005201
0.002712,,0.005308
0.002665,,0.005184
0.002633,,0.005238
0.002647,,0.005203
0.002674,,0.00516
0.002708,,0.005188
0.002737,,0.005205
0.003468,,0.005357
0.00345,,0.005321
0.00266,,0.005273
0.003522,,0.005278
0.003507,,0.005265
0.002673,,0.00526
0.003485,,0.005249
0.003491,,0.005275
0.003535,,0.005371
0.003507,,0.005544
0.003498,,0.005366
0.003513,,0.005363
0.003551,,0.005278
0.003547,,0.005393
0.002747,,0.005346
0.003559,,0.005355
0.003528,,0.00533
0.003515,,0.00531
0.003534,,0.005346
0.003514,,0.005333
0.003531,,0.005328
0.003282,,0.005303
0.003608,,0.005333
0.003544,,0.005318
0.003572,,0.005321
0.003644,,0.005289
0.003618,,0.005353
0.003558,,0.005374
0.003571,,0.005365
0.003609,,0.005422
0.00355,,0.005344
0.003567,,0.00535
0.00274,,0.005394
0.003606,,0.00537
0.003539,,0.005396
0.002742,,0.005368
0.00353,,0.005377
0.003566,,0.005392
0.003671,,0.005386
0.003628,,0.005348
0.003627,,0.005371
0.003599,,0.005378
0.003629,,0.005352
0.003632,,0.005404
0.003588,,0.005406
0.003592,,0.005397
0.003621,,0.005394
0.002811,,0.005354
0.00333,,0.005423
0.004222,,0.005352
0.003594,,0.005371
0.003617,,0.005398
0.003639,,0.005377
0.003211,,0.005447
0.003642,,0.005403
0.00424,,0.005372
0.0029,,0.005414
0.003673,,0.005457
0.00367,,0.005433
0.003625,,0.005445
0.014375,,0.005387
0.003375,,0.00544
0.002844,,0.005424
0.00299,,0.005545
0.003715,,0.005433
0.003717,,0.00548
0.003744,,0.005432
0.003708,,0.005395
0.002893,,0.005461
0.003774,,0.00543
0.003751,,0.00558
0.003757,,0.005508
0.004311,,0.005556
0.003774,,0.005502
0.003811,,0.005581
0.003759,,0.00554
0.003776,,0.005548
0.003747,,0.005546
0.003757,,0.00553
0.003783,,0.005597
0.003771,,0.005548
0.003804,,0.005584
0.003825,,0.005583
0.002981,,0.005583
0.003799,,0.005618
0.003829,,0.005591
0.003799,,0.005587
0.003826,,0.006571
0.003818,,0.005566
0.003818,,0.005623
0.003835,,0.005641
0.003844,,0.005656
0.003803,,0.00565
0.003802,,0.005678
0.00382,,0.005674
0.003844,,0.005654
0.003854,,0.005678
0.003858,,0.005679
0.003846,,0.005784
0.003877,,0.005768
0.003867,,0.00577
